finishedfloor1squarefeet,numberofstories,logerror,fireplaceflag,regionidcity,finishedsquarefeet6,regionidzip,typeconstructiontypeid,buildingclasstypeid,longitude,fireplacecnt,regionidcounty,taxdelinquencyflag,pooltypeid10,storytypeid,structuretaxvaluedollarcnt,poolsizesum,garagetotalsqft,censustractandblock,poolcnt,calculatedfinishedsquarefeet,taxdelinquencyyear,latitude,roomcnt,bedroomcnt,yardbuildingsqft17,basementsqft,hashottuborspa,taxamount,threequarterbathnbr,unitcnt,buildingqualitytypeid,assessmentyear,parcelid,landtaxvaluedollarcnt,propertylandusetypeid,propertycountylandusecode,yearbuilt,regionidneighborhood,fips,decktypeid,heatingorsystemtypeid,airconditioningtypeid,architecturalstyletypeid,propertyzoningdesc,garagecarcnt,rawcensustractandblock,fullbathcnt,transactiondate,finishedsquarefeet50,calculatedbathnbr,pooltypeid7,taxvaluedollarcnt,finishedsquarefeet12,finishedsquarefeet13,yardbuildingsqft26,finishedsquarefeet15,lotsizesquarefeet,bathroomcnt,pooltypeid2
1252,1,-0.0121,,13150,,97104,,,-119178361,,2061,,,,35649.0,,360,61110041012015,,1252.0,,34163449,6.0,3.0,,,,638.08,,,,2015,17169356,14234.0,261,1111,1959.0,762948,06111,,,,,,1,061110041.012015,2,2016-04-20,1252,2.0,,49883.0,1252,,,,6100.0,2.0,
,,0.0178,,32380,,96962,,,-117680000,,1286,,,,111895.0,,0,60590524241007,,1123.0,,33642100,0.0,3.0,,,,2590.92,,,,2015,14735864,137527.0,266,34,1983.0,,06059,,,,,,1,060590524.241007,2,2016-10-04,,2.0,,249422.0,1123,,,,,2.0,
1140,1,0.2685,,13150,,97104,,,-119186508,,2061,,,,171842.0,,361,61110037002023,,2348.0,,34176953,8.0,5.0,,,,4212.68,,,,2015,17167810,171842.0,261,1111,1957.0,,06111,,,,,,1,061110037.002023,3,2016-05-10,1140,3.0,,343684.0,2348,,,,6188.0,3.0,
,,0.0159,,12447,,96038,,,-118282000,,3101,,,,72541.0,,,60372087101001,,715.0,,34065400,0.0,1.0,,,,1531.0,,1,7,2015,11790735,55533.0,266,010E,1971.0,276023,06037,,2,1,,LAR4,,060372087.101001,1,2016-03-21,,1.0,,128074.0,715,,,,43251.0,1.0,
,,0.0459,,54053,,96122,,,-118390308,,3101,,,,577100.0,,,60376706022002,,4596.0,,33741098,0.0,4.0,,,,19522.23,,1,10,2015,12705066,957900.0,269,010D,1984.0,,06037,,2,,,RPRS1*,,060376706.022002,5,2016-07-26,,5.0,,1535000.0,4596,,,,4559.0,5.0,
,2,-0.0243,,25459,,96987,,,-117701664,,1286,,1,,155763.0,,441,60590423344000,,2104.0,,33555194,8.0,4.0,,,true,5018.76,,,,2015,14414313,330926.0,261,122,1977.0,,06059,,,,,,2,060590423.344000,3,2016-03-14,,3.0,,486689.0,2104,,,,5684.0,3.0,
2666,1,-0.0694,,51239,,97089,,,-119065111,,2061,,,,120527.0,,506,61110052041010,,2666.0,,34243766,0.0,3.0,468,,,1636.06,1,,,2015,17124487,30563.0,261,1110,1958.0,,06111,,,,,,2,061110052.041010,2,2016-09-14,2666,2.5,,151090.0,2666,,,,58806.0,2.5,
,,-0.006,,54311,,96373,,,-118496958,,3101,,,,232429.0,,,60379200201007,,1547.0,,34456419,0.0,3.0,,,,4979.79,,1,4,2015,11121730,117678.0,261,0100,1978.0,6952,06037,,2,1,,SCUR2,,060379200.201007,2,2016-09-27,,2.0,,350107.0,1547,,,,6504.0,2.0,
,2,0.0139,,52650,,96941,,,-117799485,1,1286,,1,,159569.0,,505,60590525111001,,2129.0,,33690962,8.0,4.0,,,true,7795.42,,,,2015,14305980,758413.0,261,122,1976.0,276119,06059,,,13,,,2,060590525.111001,3,2016-03-10,,3.0,,917982.0,2129,,,,4050.0,3.0,
,,-0.0222,,46298,,96240,,,-118198659,,3101,,,,116841.0,,,60375722023007,,1056.0,,33806424,0.0,2.0,,,,4398.56,,1,7,2015,12497673,248943.0,261,0100,1938.0,276157,06037,,7,,,LBR1N,,060375722.023007,1,2016-08-05,,1.0,,365784.0,1056,,,,5585.0,1.0,
